,Symbol,Start,End,Label,Market.Cap,Sector,Income,Sales,Employees,price.to.earnings,Price.Earnings.to.Growth,Price.to.Sales.Ratio,Price.to.Book,Price.to.free.cash.flow,debt.to.equity,EPS..ttm.,Inst.Own,ROE,ROI,Profit.Margin,Shs.Outstand,Beta
0,AACG,1.18,1.04,DOWN,60890954,Consumer Discretionary,-9400000,27900000,584,0,0,2.04,2.73,0,0,-0.3,0.169,-0.394,-0.378,-0.338,31530000,1.66
1,AADI,1.05,24.87,UP,271012062,Health Care,-135200000,6700000,67,0,0,39.4,2.42,0,0,-11.45,0.722,-1.039,-0.779,0,20970000,1.25
2,AAL,15.13,18.07,UP,9225343091,Consumer Discretionary,-1608000000,45210000000,123400,0,0,0.2,0,10.85,0,-2.52,0.549,0.284,-0.016,-0.051,650590000,1.49
3,AAME,2.14,2.78,UP,60991506,Finance,2500000,195300000,138,26.35,0,0.32,0.57,5.95,0.32,0.12,0.055,0.019,0.032,0.013,20400000,0.29
4,AAOI,8.76,5.35,DOWN,77235240,Technology,-60900000,212200000,2534,0,0,0.28,0.26,0,0.65,-2.22,0.356,-0.249,-0.143,-0.287,27610000,1.39
5,AAON,64.71,79.17,UP,3450790584,Industrials,55800000,666400000,2881,63.4,5.28,5.21,7.12,0,0.23,1.04,0.721,0.121,0.115,0.084,53090000,0.76
6,AAPL,129.41,178.2,UP,2.65E+12,Technology,99800000000,3.94E+11,164000,22.68,2.55,5.68,43.79,23.19,2.37,6.1,0.601,1.609,0.583,0.253,16030000000,1.25
7,AATC,4.44,6.28,UP,22999799,Industrials,500000,12000000,36,45.71,2.29,1.88,1.24,0,0.09,0.09,0.252,0.026,0.106,0.042,5380000,0.77
8,AAWW,55.39,93.25,UP,2871419104,Consumer Discretionary,466000000,4400000000,4056,6.93,0.69,0.65,0.99,3.15,0.72,14.5,0,0.169,0.108,0.106,28240000,1.14
9,ABCL,39.1,14.34,DOWN,3363210294,Health Care,200400000,507300000,386,18.67,1.87,6.89,2.8,12.18,0,0.64,0.453,0.182,0.135,0.395,284690000,0
10,ABCM,20.47,23.67,UP,3554142002,Health Care,7800000,401900000,1750,430.59,1163.75,8.29,4.01,82.85,0.32,0.03,0.133,0.01,0.024,0.019,229050000,0
11,ABEO,42.25,7.99,DOWN,26895132,Health Care,-86600000,4300000,90,0,0,6.71,1.11,0,0,-18.58,0.108,-1.896,-1.714,0,8050000,1.26
12,ABIO,4.16,2.21,DOWN,31189314,Health Care,-16800000,0,17,0,0,0,0.66,0,0,-1.17,0.344,-0.335,0,0,14410000,1.8
13,ABMD,316.73,362.06,UP,11379541178,Health Care,217600000,1060000000,2003,78.93,4.3,10.74,11.09,45.45,0,4.74,0.953,0.093,0.058,0.129,45580000,1.28
14,ABNB,139.15,168.78,UP,63790837789,Consumer Discretionary,1250000000,7380000000,6132,52.39,1.14,8.16,11.69,21.71,0,1.83,0.656,0.26,0,0.169,638410000,0
15,ABUS,3.64,3.88,UP,353883430,Health Care,-76100000,33400000,85,0,0,11.07,2.48,0,0,-0.6,0.297,-0.665,0,0,148750000,2.2
16,ABVC,5.05,3.41,DOWN,24470984,Health Care,-17600000,400000,28,0,0,60.17,2.44,0,0.17,-0.65,0.048,0,-1.205,0,31310000,0.3
17,ACAD,52.81,23.54,DOWN,2613767438,Health Care,-204600000,512400000,540,0,0,4.68,5.45,0,0,-1.27,0.946,-0.412,-0.316,-0.399,161650000,0.6
18,ACB,9.52,5.5,DOWN,438638652,Health Care,-1717600000,221300000,1338,0,0,2.59,0.49,0,0.41,-7.64,0.2372,-1.199,-1.836,0,300440000,3
19,ACCD,41.45,26.27,DOWN,783055035,Technology,-417200000,336000000,2350,0,0,1.97,1.21,0,0.53,-6.08,0.805,-0.169,-0.106,-0.366,69740000,0
20,ACER,2.54,2.36,DOWN,20287610,Health Care,-19500000,400000,35,0,0,54.44,0,0,0,-1.35,0.265,4.238,9.028,0,15270000,1.21
21,ACET,13.42,16.54,UP,329109110,Health Care,-47700000,33900000,86,0,0,21.82,2.44,0,0,-1.37,0.926,-0.17,-0.202,0,40080000,2.15
22,ACGL,34.9,44.33,UP,21010728011,Finance,1200000000,8710000000,5200,18.21,1.05,2.5,1.81,6.86,0.24,3.12,0.91,0.151,0.111,0.212,369240000,0.78
23,ACHC,50.49,60.13,UP,7291807792,Health Care,277300000,2450000000,15900,25.81,2.09,2.95,2.64,52.15,0.53,3.04,0,0.095,0.071,0.099,89720000,1.25
24,ACHV,7.9,7.74,DOWN,21956511,Health Care,-31900000,0,16,0,0,0,1.49,0,1.17,-3.35,0.275,-1.31,0,0,9650000,1.11
25,ACIU,5.32,5.02,DOWN,228552985,Health Care,-75600000,3930000,143,0,0,56.55,1.23,0,0.01,-0.94,0.18,-0.366,0,0,84460000,0.52
26,ACIW,37.88,34.87,DOWN,2790736452,Technology,152100000,1450000000,3610,15.9,1.32,1.6,1.95,14.13,0.9,1.29,0.988,0.125,0.07,0.105,114670000,1.14
27,ACLS,28.6,73.11,UP,1926861029,Technology,149100000,807200000,1122,14.79,0.74,2.63,3.67,17.13,0.08,4.4,0.864,0.271,0.18,0.185,33100000,1.56
28,ACMR,29.84,28.39,DOWN,380204374,Technology,32200000,308700000,877,30.32,0.71,1.26,0.6,0,0.04,0.22,0.715,0.059,0.054,0.104,59180000,0.53
29,ACNB,24.4,31.39,UP,310695625,Finance,30000000,80800000,397,10.68,0,3.95,1.3,10.85,0,3.45,0.306,0.103,0.235,0.334,8710000,0.39
30,ACNT,8,15.9,UP,149994372,Industrials,37600000,414300000,638,3.96,0.32,0.37,1.14,11.25,0.53,3.75,0.487,0.326,0.119,0.091,10240000,0.59
31,ACOR,3.8,2.35,DOWN,28580595,Health Care,-118800000,122000000,118,0,0,0.21,0.15,0,0,-8.8,0.274,-0.716,-0.224,-0.779,24340000,1.66
32,ACRS,6.48,14.33,UP,1056413879,Health Care,-83300000,6100000,75,0,0,161.64,4.25,0,0,-1.33,0.962,-0.401,-0.455,0,65990000,0.56
33,ACRX,25,9.81,DOWN,18895324,Health Care,45700000,2900000,43,0.34,0,5.25,0.43,0,0.3,5.76,0.118,-2.175,1.628,0,7360000,0.28
34,ACST,3.16,1.25,DOWN,25873875,Health Care,-15300000,0,32,0,0,0,0.18,0,0,-0.36,0.0026,-0.103,0,0,44330000,1.4
35,ACTG,3.8,5.21,UP,159736650,Miscellaneous,112300000,95100000,287,0,0,1.52,0.71,96.45,0.48,-1.2,0.622,0.368,-0.016,0,43990000,0.4
36,ADAP,6.01,3.87,DOWN,231986077,Health Care,-176000000,11700000,494,0,0,21.88,1.82,0,0,-1.12,0.706,-0.936,-0.791,0,163370000,2.02
37,ADBE,485.34,570.53,UP,1.48E+11,Technology,4810000000,17190000000,25988,28.18,2.14,7.79,9.32,18.78,0.29,10.14,0.841,0.338,0.26,0.28,469000000,1.25
38,ADEA,5.38,5.01,DOWN,1166236786,Technology,-37300000,925300000,2250,0,0,1.22,0.85,5.63,0.55,-0.36,0.945,-0.03,-0.009,-0.044,104000000,1.72
39,ADES,5.37,6.47,UP,55106237,Industrials,26700000,110700000,139,1.94,0.04,0.49,0.36,6.39,0.04,1.44,0.384,0.185,-0.05,0.241,19130000,0.7
40,ADI,146.02,174.78,UP,73401679889,Technology,1890000000,11110000000,24700,39.96,2.72,6.59,2.04,33.01,0.17,3.61,0.883,0.051,0.034,0.17,517010000,1.11
41,ADIL,1.73,2.67,UP,7967571,Health Care,-16900000,0,16,0,0,0,0.93,0,0,-0.78,0.061,-2.302,0,0,24320000,0.55
42,ADMA,2.11,1.32,DOWN,553727160,Health Care,-73100000,110100000,527,0,0,4.68,4.43,0,1.22,-0.42,0.761,-0.603,-0.247,-0.664,196350000,1
43,ADMP,0.54,0.58,UP,21147640,Health Care,-31600000,700000,15,0,0,30.17,2.8,0,0,-0.2,0.087,0,-1.045,0,149820000,1.06
44,ADN,14.88,7.08,DOWN,45883777,Utilities,-35500000,8100000,200,0,0,13.26,0.9,0,0,-0.7,0.265,-0.277,-0.331,0,51630000,-0.16
45,ADP,168.96,245.56,UP,1.00E+11,Consumer Discretionary,3030000000,16880000000,60000,32.81,2.19,5.78,30.52,92.16,0.93,7.22,0.809,0.642,0.471,0.17,415800000,0.83
46,ADPT,55.83,28.33,DOWN,1112980577,Health Care,-232100000,159700000,858,0,0,7.36,2.44,0,0,-1.64,0.871,-0.399,-0.346,0,142360000,1.05
47,ADSK,296.84,281.71,DOWN,46245642444,Technology,557800000,4740000000,12600,76.35,3.27,8.82,56.8,25.5,3.55,2.54,0.93,0.629,0.158,0.118,217000000,1.49
48,ADTN,14.73,22.92,UP,1745436898,Telecommunications,-13600000,618800000,1335,0,0,2.54,2.89,0,0,-0.28,0.778,-0.038,-0.048,-0.022,77420000,1.4
49,ADTX,105,27.92,DOWN,11055704,Health Care,-45700000,500000,58,0,0,5.04,1.38,0,0.64,-80.66,0.353,-6.255,-4.04,0,4160000,0
50,ADUS,116.26,93.37,DOWN,1631993402,Health Care,44400000,904900000,5416,39.6,2.64,1.83,2.89,28.04,0,2.76,0,0.077,0.064,0.049,15850000,0.77
51,ADV,13.33,7.7,DOWN,1079726289,Consumer Discretionary,70800000,3860000000,20000,15.14,1.05,0.27,0.42,17.43,0.83,0.22,0.294,0.028,0.043,0.018,318420000,0
52,ADVM,11.98,1.79,DOWN,86420213,Health Care,-154400000,0,188,0,0,0,0.32,0,0,-1.57,0.698,-0.519,-0.462,0,99000000,1.08
53,ADXN,14.11,6.31,DOWN,6986241,Health Care,0,1590000,26,0,0,8.81,0.69,0,0,-3.26,0.1592,0,0,0,8210000,0
54,AEHL,2.43,1.62,DOWN,3305655,Consumer Discretionary,-6500000,41200000,236,0,0,0.09,1.17,18.74,1.48,-1.08,0.068,-0.793,-0.92,-0.157,6010000,0.91
55,AEHR,2.42,23.38,UP,568466485,Industrials,9300000,55900000,91,59.75,2.99,10.25,10.31,121.85,0,0.33,0.329,0.199,0.184,0.167,27240000,1.65
56,AEI,5.89,0.61,DOWN,29998452,Real Estate,-45900000,10500000,32,0,0,2.81,0.15,0,0,-0.77,0.03,-0.299,-0.104,0,122890000,0
57,AEIS,97.99,92.28,DOWN,2944260977,Consumer Discretionary,142500000,1580000000,10000,22.06,2.21,1.93,3.14,36.65,0.38,3.76,0,0.214,0.111,0.125,37380000,1.53
58,AEMD,2.52,1.93,DOWN,11364513,Miscellaneous,-11200000,200000,14,0,0,55.79,0.53,0,0,-0.73,0.043,-0.591,-0.609,0,22900000,0.9
59,AEP,81.54,88.69,UP,44942517278,Utilities,2460000000,18820000000,16688,18.58,2.98,2.43,1.89,11.85,1.55,4.82,0.757,0.104,0.056,0.131,513730000,0.41
60,AESE,1.46,1.74,UP,47293419,Telecommunications,-14200000,7200000,88,0,0,6.45,0.53,0,0,-0.36,0.209,0.634,0,0,39120000,1.07
61,AEY,2.85,1.72,DOWN,27805007,Consumer Discretionary,-1900000,90000000,169,0,0,0.3,2.72,9.37,0.21,-0.15,0.033,-0.204,-0.437,-0.021,13190000,0.55
62,AEYE,24.87,6.74,DOWN,63420679,Technology,-15900000,27200000,111,0,0,2.17,4.78,0,0.15,-1.39,0.187,-0.96,-0.802,-0.585,11490000,1.28
63,AEZS,12.87,9.19,DOWN,19928030,Health Care,-11700000,5400000,17,0,0,3.59,0.36,0,0,-1.79,0.214,-0.213,-0.161,0,4860000,1.34
64,AFBI,9.71,15.26,UP,96853699,Finance,6800000,31500000,90,14.74,0,3.08,0.83,15.9,0,0.99,0.15,0.061,0.214,0.23,6590000,0.45
65,AFIB,30.15,3.58,DOWN,20994056,Health Care,-94100000,16700000,338,0,0,1.55,0.34,0,0.47,-3.28,0.455,-0.978,-0.757,0,28340000,0
66,AFMD,6.06,5.69,DOWN,262837230,Health Care,-75400000,33900000,187,0,0,8.21,1.51,0,0.1,-0.59,0.685,-0.526,-0.414,0,147330000,2.17
67,AFYA,24.51,15.96,DOWN,1320268495,Real Estate,63500000,408800000,8079,22.59,3.6,3.61,2.41,12.55,0.72,0.69,0.56,0.11,0.08,0.155,90480000,0
68,AGEN,3.23,3.37,UP,713570513,Health Care,18100000,320100000,441,21.59,0,2.16,244,0,4.03,0.11,0.532,0.757,0,0.056,277030000,1.3
69,AGIL,10.15,4.97,DOWN,216870161,Technology,-26500000,172900000,2630,0,0,1.15,2.19,0,0.86,-0.64,0.52,-0.305,-0.008,-0.153,46040000,0
70,AGIO,44.3,33.57,DOWN,1511881791,Health Care,-369400000,6400000,390,0,0,215.33,1.26,0,0,-6.71,0,-0.295,0,0,54800000,0.99
71,AGLE,8.56,4.55,DOWN,61784235,Health Care,-87500000,7000000,92,0,0,9,1.09,0,0,-1.26,0.865,-1.055,-0.78,0,82210000,1.91
72,AGMH,15.77,2.5,DOWN,47670241,Technology,3600000,36700000,22,10.06,0,1.02,1.42,0,0.06,0.16,0.035,0.404,0.133,0.097,21900000,1.27
73,AGNC,15.39,15.21,DOWN,4501364500,Real Estate,-1879000000,-1698000000,50,0,0,0,0.67,7.32,6.6,-3.57,0.432,-0.122,0.013,0,551300000,1.14
74,AGRX,111.6,19.62,DOWN,11273751,Health Care,-64100000,6700000,30,0,0,8.08,0.35,0,3.71,-21.55,0.006,0,0,0,202460000,1.23
75,AGTC,4.34,1.98,DOWN,27776542,Health Care,-68900000,300000,102,0,0,94.83,0.73,0,0.62,-1.54,0.184,-1.396,-1.382,0,67630000,1.58
76,AGYS,37.12,44.28,UP,1611492713,Technology,8300000,181300000,1400,192.13,3842.59,8.82,14.41,85.55,0,0.32,0.998,0.084,0.065,0.046,24650000,1.01
77,AHCO,35.8,23.49,DOWN,3039755845,Health Care,125300000,2790000000,10700,24.33,1.75,1.06,1.39,149.84,1.03,0.91,0.772,0.06,0.04,0.045,134330000,0.57
78,AHG,2.25,1.85,DOWN,32880133,Finance,-23000000,600000,113,0,0,17.75,0.39,0,0.51,-1.39,0.024,-0.72,-1.15,0,16890000,1.03
79,AHPI,5.17,6,UP,5097192,Health Care,-5400000,27000000,146,0,0,0.18,0.95,0,2.04,-1.34,0.064,-0.704,-0.328,-0.198,4010000,-2.61
80,AIHS,10.7,3.82,DOWN,38940554,Finance,-3800000,6900000,151,0,0,0.97,0.71,0,0.05,-0.58,0.006,0,-1.345,0,7680000,0.52
81,AIKI,14.71,10.16,DOWN,33459086,Health Care,-14600000,0,4,0,0,0,0.33,0,0,-2.77,0.085,-0.151,0,0,5250000,1.06
82,AIMC,54.93,51.39,DOWN,3915817670,Industrials,17000000,1950000000,9600,229.48,15.3,1.93,1.92,43.02,0.56,0.25,0,0.017,0.035,0.017,65100000,2.3
83,AIMD,3,13.2,UP,22205228,Health Care,-6700000,1100000,34,0,0,20.76,1.74,0,5.3,-0.64,0,-0.643,-0.28,0,9620000,1.11
84,AIRG,17.09,10.86,DOWN,74374949,Technology,-11900000,66400000,145,0,0,1.16,1.79,0,0,-1.17,0.554,-0.268,-0.228,-0.179,10220000,0.95
85,AIRT,25.05,25.34,UP,64494405,Consumer Discretionary,9200000,191000000,500,6.61,0,0.32,2.49,0,5.82,3.18,0.262,0.406,0.099,0.048,2870000,1.24
86,AKAM,105.24,117.15,UP,13997766013,Consumer Discretionary,578200000,3570000000,8700,23.92,1.99,3.75,3.14,12.4,0.55,3.52,0.961,0.131,0.111,0.162,160040000,0.71
87,AKBA,2.93,2.29,DOWN,47157180,Health Care,-163400000,296800000,426,0,0,0.16,0.82,0,1.58,-0.94,0.333,-2.164,-1.525,-0.55,183600000,1.33
88,AKRO,24.82,21.42,DOWN,1974139677,Health Care,-110200000,0,37,0,0,0,9.18,0,0.06,-3.15,0.841,-0.665,0,0,46420000,-0.91
89,AKTS,11.87,6.82,DOWN,191152769,Utilities,-59000000,15400000,205,0,0,11.56,1.74,0,0,-1.09,0.521,-0.533,-0.399,0,56550000,1.56
90,AKTX,1.81,1.38,DOWN,27229400,Health Care,-16800000,0,9,0,0,0,1.88,0,0,-0.36,0.024,-2.067,0,0,74450000,1.26
91,AKUS,19.43,8.37,DOWN,484324005,Health Care,-95700000,0,103,0,0,0,2.43,0,0,-2.75,0.957,-0.427,0,0,36930000,0
92,ALBO,36.98,23.63,DOWN,405390561,Health Care,-36300000,51200000,130,0,0,7.51,3.72,0,0.09,-1.89,0.985,-0.234,0,-0.708,19590000,0.79
93,ALDX,6.53,4.06,DOWN,326026218,Health Care,-66100000,0,12,0,0,0,1.79,0,0.09,-1.14,0.682,-0.335,0,0,58300000,1.28
94,ALEC,14.98,20.92,UP,764541908,Health Care,38100000,300700000,269,17.25,0,2.25,2.37,1.44,0,0.48,0.805,0.122,-0.124,0.121,82390000,0.98
95,ALGM,25.52,36.07,UP,4878357596,Technology,119400000,842300000,4036,42.17,3.25,5.84,6.55,57.11,0,0.62,0.471,0.168,0.152,0.142,190640000,0
96,ALGN,526.46,662.22,UP,15121744616,Health Care,510800000,3860000000,22540,28.01,0.65,3.68,3.94,26.79,0,6.46,0.92,0.196,0.215,0.183,78390000,1.68
97,ALGS,26.95,11.97,DOWN,44949806,Health Care,-126400000,8200000,89,0,0,5.16,0.31,0,0,-2.98,0.751,-0.731,-0.694,0,42670000,0
98,ALGT,174.74,188.99,UP,1362599177,Consumer Discretionary,45700000,2090000000,5226,28.8,0,0.64,1.08,38.48,1.59,2.57,0.894,0.038,0.074,0.022,17990000,1.53
99,ALIM,4.27,5.15,UP,37775489,Health Care,-17400000,52600000,145,0,0,0.71,0,0,0,-2.49,0.295,0.702,0.053,-0.33,7000000,1.37
100,ALKS,19.74,23.35,UP,3724465686,Health Care,-94200000,1170000000,2211,0,0,3.28,3.63,37.7,0.27,-0.58,0.998,-0.086,-0.029,-0.08,163840000,0.6
101,ALLK,133.77,10.07,DOWN,499883872,Health Care,-403200000,0,192,0,0,0,1.47,0,0,-7.39,0.805,-1.11,0,0,84730000,0.4
102,ALLO,25.79,15.38,DOWN,1492714844,Health Care,-307700000,200000,344,0,0,6544.07,1.67,0,0,-2.19,0.726,-0.347,-0.279,0,143380000,0.59
103,ALLT,10.38,11.95,UP,141149833,Telecommunications,-19500000,143800000,749,0,0,1.06,1.35,0,0.35,-0.53,0.746,-0.159,-0.122,-0.135,36830000,0.96
104,ALNY,128.1,171.03,UP,25599407360,Health Care,-1182100000,960900000,1665,0,0,25.94,0,0,0,-9.77,0.981,-4.307,-0.561,0,123030000,0.54
105,ALOT,10.92,13.6,UP,87389686,Technology,-200000,121800000,339,0,0,0.74,1.11,0,0.17,-0.03,0.465,-0.002,0.09,-0.001,7310000,0.68
106,ALPN,13.45,13.88,UP,254798671,Health Care,-54300000,32000000,85,0,0,8.06,1.84,57.33,0.06,-1.91,0.792,-0.473,-0.386,0,43940000,1.39
107,ALPP,2.78,1.84,DOWN,144763906,Industrials,-12300000,80000000,480,0,0,1.79,2.13,0,0.52,-0.07,0.071,-0.189,-0.144,-0.154,183200000,8.79
108,ALR,6.91,2.9,DOWN,29381083,Health Care,-39500000,751100000,6800,0,0,0.04,0.17,0,0.44,-1.25,0.243,-0.223,-0.136,-0.053,31810000,0.88
109,ALRM,100.45,84.37,DOWN,2916740289,Technology,42600000,805900000,1500,69.62,8.6,3.44,4.95,69.11,0.87,0.8,0.935,0.073,0.064,0.053,49930000,1.06
110,ALRN,1.05,0.54,DOWN,17801425,Health Care,-29900000,0,9,0,0,0,0.8,0,0,-0.33,0.355,-0.901,0,0,90970000,1.97
111,ALRS,26.54,29.11,UP,444916719,Finance,47000000,92400000,779,8.08,0,4.76,1.22,3.77,0.19,2.69,0.361,0.139,0.177,0.508,19990000,0.7
112,ALT,12.71,8.93,DOWN,616002279,Health Care,-96900000,3500000,47,0,0,163.57,2.84,0,0,-2.24,0.825,-0.492,-0.487,0,49020000,0.43
113,ALTO,5.7,4.83,DOWN,308223975,Industrials,50400000,1360000000,415,5.98,0.3,0.22,0.83,14.22,0,0.69,0.544,0.149,0.123,0.037,72940000,2.46
114,ALTR,57.7,75.47,UP,3925360679,Technology,-31800000,554500000,2800,0,0,6.77,6.58,197.64,0.55,-0.42,0.997,-0.053,0.005,-0.057,78950000,1.5
115,ALVO,10.53,9.87,DOWN,1544113426,Health Care,-12000000,77600000,805,0,0,20.18,0,0,0,-2.89,0.081,0,-0.093,0,248650000,0
116,ALVR,39.65,13.52,DOWN,432418674,Health Care,-192000000,0,107,0,0,0,3.15,0,0,-3.02,0.341,-0.911,0,0,64470000,0
117,ALXO,80.82,21.93,DOWN,495891781,Health Care,-110500000,0,52,0,0,0,1.63,0,0,-2.72,0,-0.314,0,0,40690000,0
118,AMAL,13.56,16.64,UP,709143645,Finance,72600000,228800000,375,10.27,0,2.98,1.48,50.58,0.17,2.33,0.525,0.102,0.242,0.24,30820000,0.75
119,AMAT,86.87,157.98,UP,75819065395,Technology,6650000000,25160000000,27000,12.72,1.03,3.2,6.8,19.83,0.45,7.47,0.797,0.556,0.339,0.264,864000000,1.49
120,AMBA,91.34,201.19,UP,2109464511,Technology,-42900000,353600000,899,0,0,5.88,3.63,43.44,0,-1.13,0.798,-0.077,-0.05,-0.121,38260000,1.48
121,AMCX,35.6,35.68,UP,962455413,Consumer Discretionary,315300000,3060000000,1739,2.57,0,0.25,0.83,0,2.95,7.23,0.916,0.352,0.1,0.103,43190000,1.16
122,AMD,92.3,145.15,UP,97714478978,Technology,3130000000,21580000000,15500,26.53,1.04,4.75,1.85,30.95,0.05,2.38,0.684,0.108,0.401,0.157,1620000000,1.95
123,AMED,289.42,164.13,DOWN,3161795352,Health Care,120900000,2220000000,21000,22.91,4.06,1.27,2.71,30.65,0.45,3.69,0.977,0.124,0.155,0.054,32480000,0.99
124,AMEH,19.25,72.87,UP,1603116116,Health Care,73700000,955200000,1133,22.49,2.1,2.14,3.37,108.28,0.42,1.6,0.331,0.16,0.117,0.077,44860000,0.75
125,AMGN,226.66,226.47,DOWN,1.44E+11,Health Care,6580000000,26380000000,24200,23.47,3.06,5.58,61.29,34.66,15.1,11.8,0.799,1.441,0.171,0.249,535000000,0.64
126,AMKR,14.91,24.6,UP,5084062960,Technology,818000000,6910000000,30400,6.51,0.87,0.78,1.66,22.48,0.36,3.33,0.397,0.232,0.169,0.1,244590000,1.56
127,AMNB,26.11,38.01,UP,392099400,Finance,37700000,93200000,327,10.72,2.68,4.25,1.23,9.77,0.09,3.52,0.415,0.121,0.213,0.442,10690000,0.98
128,AMOT,32.91,35.27,UP,542142396,Industrials,14600000,437800000,1950,33.78,1.13,1.21,2.49,0,1.14,0.97,0.604,0.078,0.078,0.033,15360000,1.53
129,AMPG,4.62,3.91,DOWN,22725887,Technology,-3800000,13500000,34,0,0,1.73,0.77,0,0.03,-0.4,0.075,-0.128,-0.166,-0.28,9590000,1.18
130,AMPH,20.14,23.14,UP,1521676015,Health Care,90900000,476900000,1761,16.93,0.68,3.06,2.95,20.71,0.15,1.78,0.626,0.196,0.12,0.191,48860000,0.74
131,AMRK,13.34,30.36,UP,703601120,Finance,132500000,8160000000,384,5.03,0,0.08,1.29,0,1.33,5.44,0.524,0.311,0.117,0.016,23080000,-0.2
132,AMRN,5.03,3.35,DOWN,501990865,Health Care,-92000000,423400000,560,0,0,1.19,0.9,0,0,-0.23,0.353,-0.149,0.01,-0.217,404610000,1.82
133,AMRS,7.02,5.44,DOWN,925849883,Industrials,-212700000,235600000,980,0,0,3.39,0,0,0,-0.68,0.459,3.099,-0.304,-0.903,319920000,1.22
134,AMSC,23.36,10.97,DOWN,127976433,Industrials,-22500000,105700000,326,0,0,0.98,1.03,0,0,-0.82,0.5,-0.174,-0.176,-0.182,27560000,1.4
135,AMSF,57.39,53.72,DOWN,1128884189,Finance,38400000,293400000,371,28.57,2.86,3.7,2.91,0,0,1.98,0.988,0.099,0.165,0.131,19200000,0.34
136,AMST,4.51,1.03,DOWN,7426605,Technology,-9100000,700000,14,0,0,11.26,0.89,0,0,-0.39,0.028,-0.944,-1.118,0,27600000,0
137,AMSWA,17.1,26.09,UP,577897548,Technology,12000000,129600000,406,47.01,2.94,4.43,4.17,75.53,0,0.35,0.764,0.091,0.091,0.092,33660000,0.88
138,AMTB,15.06,33.9,UP,1013872935,Finance,110000000,290300000,763,9.77,0,3.44,1.44,0,0.22,3.07,0.39,0.147,0.196,0.379,33480000,1.26
139,AMTI,31.32,13.23,DOWN,32676525,Health Care,-134700000,0,125,0,0,0,0.37,0,0.01,-3.49,0.619,-0.934,0,0,38750000,0
140,AMTX,2.84,12.43,UP,258344026,Energy,-37000000,232200000,158,0,0,1.03,0,0,0,-1.13,0.628,0.294,-0.123,-0.159,34540000,0.83
141,AMWD,92.79,64.26,DOWN,755960692,Consumer Discretionary,-12600000,1960000000,10000,0,0,0.37,0.94,36.84,0.62,-0.77,0.936,-0.017,-0.015,-0.006,16580000,1.78
142,AMYT,13.66,10.55,DOWN,437526452,Health Care,2800000,239000000,241,0,0,2.64,1.31,0,0.62,-0.09,0.746,0.008,-0.055,0.012,64160000,0
143,AMZN,159.33,168.64,UP,1.04E+12,Consumer Discretionary,11320000000,5.02E+11,1544000,83.51,3.21,1.95,6.71,0,0.59,1.08,0.597,0.084,0.095,0.023,10190000000,1.23
144,ANAB,23.36,35.31,UP,808771032,Health Care,-108000000,24100000,102,0,0,33.22,2.7,0,0,-3.89,0,-0.314,-0.159,0,28200000,0.02
145,ANDE,24.19,38.58,UP,1196814005,Consumer Staples,133300000,15210000000,2296,9.87,1.23,0.09,1.11,0,1.52,3.88,0.866,0.092,0.06,0.007,33850000,0.77
146,ANGH,10.12,10.16,UP,59813004,Consumer Discretionary,-17800000,35500000,169,0,0,1.92,0,0,0,-0.69,0.17,0,1.717,-0.501,25770000,0
147,ANGI,12.97,9.22,DOWN,1079555458,Technology,-100600000,1830000000,5200,0,0,0.5,0.89,0,0,-0.2,0.993,-0.09,-0.028,-0.055,502450000,1.69
148,ANGO,15.44,28.2,UP,547899592,Health Care,-32600000,320800000,760,0,0,1.77,1.38,0,0.12,-0.83,0.967,-0.077,-0.056,-0.102,39300000,0.73
149,ANIK,42.84,36.38,DOWN,412594220,Health Care,-11000000,151700000,297,0,0,2.69,1.5,194.27,0,-0.76,0.953,-0.038,0.015,-0.073,14550000,0.96
150,ANIP,30.22,46.88,UP,670902309,Health Care,-64600000,251300000,601,0,0,2.63,1.99,0,0.92,-4.3,0.749,-0.223,-0.042,-0.257,16270000,1.06
151,ANIX,3.27,3.02,DOWN,173134310,Health Care,-14100000,0,4,0,0,0,5.12,0,0,-0.47,0.108,-0.424,-0.371,0,30450000,1.14
152,ANNX,23.91,11.61,DOWN,228746099,Health Care,-145500000,0,75,0,0,0,1.17,0,0,-3.78,0.92,-0.673,0,0,47620000,0
153,ANPC,107.8,22,DOWN,2169703,Health Care,-14300000,2400000,89,0,0,43.15,66.67,0,1.45,-0.99,0.022,0,-3.687,0,17300000,0
154,ANSS,357.67,405.68,UP,19240868935,Technology,458300000,2000000000,5100,42.48,4.77,9.74,4.33,34.28,0,5.21,0.965,0.104,0.086,0.23,87000000,1.25
155,ANTE,2.6,1.48,DOWN,24629366,Consumer Discretionary,-17300000,11700000,71,0,0,2.29,0.5,0,0.62,-0.98,0.015,-0.669,-0.359,0,35690000,1.21
156,AOSL,24.49,60.52,UP,898214876,Technology,453200000,777600000,2451,2.11,0.12,1.18,1.08,11.36,0.09,16.03,0.673,0.63,0.498,0.583,27270000,2.41
157,APA,14.77,27.06,UP,14928963121,Energy,3080000000,10070000000,2253,5.57,0.17,1.59,28.95,3.88,9.05,8.89,0.841,-5.797,0.312,0.306,341000000,3.69
158,APCX,7.98,11.02,UP,12430312,Technology,-16100000,400000,8,0,0,28.53,1.13,0,0.17,-1.01,0.563,-2.802,0,0,16250000,1.65
